image_id,groups,true_label,official_pred,official_confidence,w0035_pred,w0035_confidence,official_probs,w0035_probs,raw_image_path,cornea_mask_path,current_crop_thumbnail,wide_crop_thumbnail,gradcam_path,notes
1,official_correct_w0035_wrong;true_point_like_missed_by_w0035;w0035_wrong_official_correct,point_like,point_like,0.561987042427063,point_flaky_mixed,0.9314653873443604,"[0.561987042427063, 0.1889372617006302, 0.2490757554769516]","[0.06706786155700684, 0.9314653873443604, 0.0014666877686977386]",data/raw/sustech_sysu/rawImages/1.jpg,data/raw/sustech_sysu/corneaLabels/1.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/1_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/1_wide.png,paper_figures/pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__officialinit_ordinalaux_w0035__holdout_v1__seed42/xai_gallery/1_gradcam_point_flaky_mixed.png,
106,both_wrong;true_point_like_missed_by_w0035,point_like,flaky,0.8803336024284363,flaky,0.9409658312797546,"[0.11678069829940796, 0.0028857607394456863, 0.8803336024284363]","[0.04327003285288811, 0.015764035284519196, 0.9409658312797546]",data/raw/sustech_sysu/rawImages/106.jpg,data/raw/sustech_sysu/corneaLabels/106.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/106_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/106_wide.png,paper_figures/pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__officialinit_ordinalaux_w0035__holdout_v1__seed42/xai_gallery/106_gradcam_flaky.png,
127,official_correct_w0035_wrong;true_point_like_missed_by_w0035;w0035_wrong_official_correct,point_like,point_like,0.8691002726554871,point_flaky_mixed,0.8339323401451111,"[0.8691002726554871, 0.12973861396312714, 0.001161131076514721]","[0.16306427121162415, 0.8339323401451111, 0.003003358840942383]",data/raw/sustech_sysu/rawImages/127.jpg,data/raw/sustech_sysu/corneaLabels/127.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/127_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/127_wide.png,paper_figures/pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__officialinit_ordinalaux_w0035__holdout_v1__seed42/xai_gallery/127_gradcam_point_flaky_mixed.png,
264,both_wrong;true_point_like_missed_by_w0035,point_like,flaky,0.5305864810943604,flaky,0.7427715063095093,"[0.4465043842792511, 0.02290918491780758, 0.5305864810943604]","[0.10482271760702133, 0.15240578353405, 0.7427715063095093]",data/raw/sustech_sysu/rawImages/264.jpg,data/raw/sustech_sysu/corneaLabels/264.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/264_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/264_wide.png,paper_figures/pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__officialinit_ordinalaux_w0035__holdout_v1__seed42/xai_gallery/264_gradcam_flaky.png,
391,both_wrong;true_point_flaky_mixed_missed_by_w0035,point_flaky_mixed,flaky,0.6593680381774902,point_like,0.5613330006599426,"[0.31836363673210144, 0.022268299013376236, 0.6593680381774902]","[0.5613330006599426, 0.04911255091428757, 0.3895544707775116]",data/raw/sustech_sysu/rawImages/391.jpg,data/raw/sustech_sysu/corneaLabels/391.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/391_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/391_wide.png,paper_figures/pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__officialinit_ordinalaux_w0035__holdout_v1__seed42/xai_gallery/391_gradcam_point_like.png,
400,both_wrong;true_point_flaky_mixed_missed_by_w0035,point_flaky_mixed,flaky,0.9619335532188416,flaky,0.8810922503471375,"[0.007794641423970461, 0.030271785333752632, 0.9619335532188416]","[0.036810990422964096, 0.08209675550460815, 0.8810922503471375]",data/raw/sustech_sysu/rawImages/400.jpg,data/raw/sustech_sysu/corneaLabels/400.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/400_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/400_wide.png,paper_figures/pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__officialinit_ordinalaux_w0035__holdout_v1__seed42/xai_gallery/400_gradcam_flaky.png,
402,both_wrong;true_point_flaky_mixed_missed_by_w0035,point_flaky_mixed,flaky,0.47823911905288696,flaky,0.5273683667182922,"[0.4598369002342224, 0.06192392855882645, 0.47823911905288696]","[0.4029757082462311, 0.06965592503547668, 0.5273683667182922]",data/raw/sustech_sysu/rawImages/402.jpg,data/raw/sustech_sysu/corneaLabels/402.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/402_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/402_wide.png,paper_figures/pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__officialinit_ordinalaux_w0035__holdout_v1__seed42/xai_gallery/402_gradcam_flaky.png,
421,w0035_correct_official_wrong,point_flaky_mixed,flaky,0.5577460527420044,point_flaky_mixed,0.9644666910171509,"[0.008805202320218086, 0.4334487020969391, 0.5577460527420044]","[0.024133361876010895, 0.9644666910171509, 0.011399944312870502]",data/raw/sustech_sysu/rawImages/421.jpg,data/raw/sustech_sysu/corneaLabels/421.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/421_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/421_wide.png,,
463,w0035_correct_official_wrong,point_flaky_mixed,flaky,0.9344216585159302,point_flaky_mixed,0.5319673418998718,"[0.002705009188503027, 0.06287328153848648, 0.9344216585159302]","[0.022513266652822495, 0.5319673418998718, 0.44551941752433777]",data/raw/sustech_sysu/rawImages/463.jpg,data/raw/sustech_sysu/corneaLabels/463.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/463_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/463_wide.png,,
482,both_wrong;true_point_flaky_mixed_missed_by_w0035,point_flaky_mixed,point_like,0.9954310655593872,point_like,0.9431589841842651,"[0.9954310655593872, 0.0017147120088338852, 0.0028542065992951393]","[0.9431589841842651, 0.04000284522771835, 0.016838105395436287]",data/raw/sustech_sysu/rawImages/482.jpg,data/raw/sustech_sysu/corneaLabels/482.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/482_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/482_wide.png,paper_figures/pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__officialinit_ordinalaux_w0035__holdout_v1__seed42/xai_gallery/482_gradcam_point_like.png,
